"","x","group","mean","lower","upper","N"
"1","<1990","<=10",63.6831074318517,63.3181761785519,64.0480386851515,5474
"2","<1990",">10",61.9258333889057,60.9304438945118,62.9212228832995,592
"3","1990-1995","<=10",63.08329533051,62.720956693045,63.445633967975,5863
"4","1990-1995",">10",58.6094541060248,57.4247554658882,59.7941527461613,409
"5","1995-2000","<=10",60.4022643584092,60.062252687596,60.7422760292225,9280
"6","1995-2000",">10",45.9451789856082,44.2045094181807,47.6858485530356,598
"7","2000-2005","<=10",58.2441189438646,57.9981794830908,58.4900584046384,22847
"8","2000-2005",">10",39.6708041332868,38.5352244498179,40.8063838167557,1449
"9","2005-2010","<=10",55.0592917705323,54.850930361299,55.2676531797656,38587
"10","2005-2010",">10",40.2670417959568,39.2972286383065,41.236854953607,2148
"11","2010-2018","<=10",51.7436518221038,51.5930622404667,51.8942414037408,83314
"12","2010-2018",">10",38.9174827836457,38.3344523775886,39.5005131897028,6059
