"","x","group","mean","lower","upper","N"
"1","<1990","<=3",57.4617115958333,57.1403256108846,57.7830975807819,3920
"2","<1990",">3",57.740653274119,57.2924725689561,58.1888339792819,2146
"3","1990-1995","<=3",56.3321434140556,56.0133667598251,56.6509200682861,4429
"4","1990-1995",">3",57.3136380703146,56.8067757142486,57.8205004263806,1843
"5","1995-2000","<=3",54.7472772394084,54.4398960203915,55.0546584584252,6459
"6","1995-2000",">3",55.8459756601261,55.40317172368,56.2887795965722,3419
"7","2000-2005","<=3",55.2756114106513,55.065091435175,55.4861313861276,14976
"8","2000-2005",">3",53.6568420650168,53.3689839196821,53.9447002103515,9320
"9","2005-2010","<=3",54.0025797961373,53.8222523445401,54.1829072477346,23635
"10","2005-2010",">3",52.5030949777962,52.2777914897318,52.7283984658606,17100
"11","2010-2018","<=3",52.9869730204648,52.8509600436822,53.1229859972474,46171
"12","2010-2018",">3",50.6147524801185,50.4680741921667,50.7614307680702,43202
