"","x","group","mean","lower","upper","N"
"1","<1990","<=3",53.4720896540735,52.7980286222268,54.1461506859201,3920
"2","<1990",">3",53.9970280640695,53.0993545784336,54.8947015497055,2146
"3","1990-1995","<=3",52.4823923344318,51.8456515598879,53.1191331089757,4429
"4","1990-1995",">3",53.2114631431603,52.1904413772895,54.2324849090311,1843
"5","1995-2000","<=3",51.8484577807419,51.2938777770414,52.4030377844424,6459
"6","1995-2000",">3",52.2567710894081,51.4313973455849,53.0821448332313,3419
"7","2000-2005","<=3",55.2785343631343,54.9085728731157,55.648495853153,14976
"8","2000-2005",">3",51.8790456081407,51.3797769678717,52.3783142484096,9320
"9","2005-2010","<=3",56.6317189845494,56.3379638390289,56.9254741300698,23635
"10","2005-2010",">3",52.7578474847534,52.3920640893671,53.1236308801397,17100
"11","2010-2018","<=3",59.1833912937173,58.9780919311786,59.3886906562559,46171
"12","2010-2018",">3",54.5159396081007,54.2889733689001,54.7429058473013,43202
