"","x","group","mean","lower","upper","N"
"1","<1990","<=3",56.1295387064274,55.5959886131084,56.6630887997463,3920
"2","<1990",">3",57.2596739661013,56.5423305739439,57.9770173582588,2146
"3","1990-1995","<=3",54.2743551932469,53.7592242771568,54.7894861093371,4429
"4","1990-1995",">3",53.4864834132542,52.6445386612834,54.328428165225,1843
"5","1995-2000","<=3",49.7697404899228,49.2835085667459,50.2559724130996,6459
"6","1995-2000",">3",46.8965401159897,46.1481298144982,47.6449504174812,3419
"7","2000-2005","<=3",46.0919528647174,45.739740972502,46.4441647569328,14976
"8","2000-2005",">3",43.0475009493748,42.5738891005642,43.5211127981854,9320
"9","2005-2010","<=3",42.1916258364807,41.8941392574373,42.4891124155241,23635
"10","2005-2010",">3",39.3323840292498,38.9775209510572,39.6872471074424,17100
"11","2010-2018","<=3",37.5609515632977,37.3436683869483,37.778234739647,46171
"12","2010-2018",">3",35.2193831062976,34.9946327979242,35.444133414671,43202
