"","x","group","mean","lower","upper","N"
"1","<1990","<=5",0.0789265982636148,0.0252864845587722,0.216863722935488,5068
"2","<1990",">5",1.80360721442886,1.10495781264617,2.89370879658531,998
"3","1990-1995","<=5",0.264550264550265,0.150618117591247,0.455401374017647,5292
"4","1990-1995",">5",5.30612244897959,4.02461472514627,6.94921583915227,980
"5","1995-2000","<=5",0.725816543611563,0.556459951526805,0.944103693452765,7991
"6","1995-2000",">5",3.33863275039746,2.59482513810797,4.27818585788095,1887
"7","2000-2005","<=5",2.12322852643877,1.92857950701989,2.33679329806813,19687
"8","2000-2005",">5",3.34128878281623,2.8500521383095,3.91185754294261,4609
"9","2005-2010","<=5",5.9168965210428,5.66858852400656,6.17530748823448,33717
"10","2005-2010",">5",10.5300655457395,9.82650627134202,11.2772388209399,7018
"11","2010-2018","<=5",18.1218217689721,17.8414212851493,18.4056333302404,71974
"12","2010-2018",">5",25.3117995287085,24.6683877094881,25.9661590421838,17399
