"","time","group","variable","mean","sum"
"1","2005-2018","Anesthesiology","Registered",25.9417199715707,44.7761194029851
"2","2005-2018","Anesthesiology","CONSORT Statement",18.8343994314144,44.7761194029851
"3","2005-2018","Endocrinology & metabolism","Registered",45.0986842105263,53.0921052631579
"4","2005-2018","Endocrinology & metabolism","CONSORT Statement",7.99342105263158,53.0921052631579
"5","2005-2018","Gastroenterology & hepatology","Registered",40.3892295387897,52.1727539322847
"6","2005-2018","Gastroenterology & hepatology","CONSORT Statement",11.7835243934951,52.1727539322847
"7","2005-2018","General","Registered",53.867472915092,69.328966154363
"8","2005-2018","General","CONSORT Statement",15.461493239271,69.328966154363
"9","2005-2018","Gynacology & reproduction","Registered",35.5234938584519,52.5053616689413
"10","2005-2018","Gynacology & reproduction","CONSORT Statement",16.9818678104894,52.5053616689413
"11","2005-2018","Heart & vascular","Registered",39.2059014970709,51.2584074636581
"12","2005-2018","Heart & vascular","CONSORT Statement",12.0525059665871,51.2584074636581
"13","2005-2018","Immunology","Registered",45.2721275426058,55.5525013743815
"14","2005-2018","Immunology","CONSORT Statement",10.2803738317757,55.5525013743815
"15","2005-2018","Infectious","Registered",52.0223861612821,64.8435512592216
"16","2005-2018","Infectious","CONSORT Statement",12.8211650979395,64.8435512592216
"17","2005-2018","Neurology","Registered",34.4847219586259,48.6240273296641
"18","2005-2018","Neurology","CONSORT Statement",14.1393053710381,48.6240273296641
"19","2005-2018","Oncology","Registered",43.3954154727794,73.6962750716332
"20","2005-2018","Oncology","CONSORT Statement",30.3008595988539,73.6962750716332
"21","2005-2018","Other","Registered",30.3012705860491,46.6330631111937
"22","2005-2018","Other","CONSORT Statement",16.3317925251446,46.6330631111937
"23","2005-2018","Pediatrics","Registered",45.2997516849947,60.2695991486343
"24","2005-2018","Pediatrics","CONSORT Statement",14.9698474636396,60.2695991486343
"25","2005-2018","Psychiatry","Registered",31.5520258446628,46.9511374343788
"26","2005-2018","Psychiatry","CONSORT Statement",15.399111589716,46.9511374343788
"27","2005-2018","Surgery","Registered",27.4450231481481,43.9670138888889
"28","2005-2018","Surgery","CONSORT Statement",16.5219907407407,43.9670138888889
"29","2005-2018","Urology & nephrology","Registered",25.9537572254335,36.1560693641619
"30","2005-2018","Urology & nephrology","CONSORT Statement",10.2023121387283,36.1560693641619
